,0
id,0
listing_url,0
scrape_id,0
last_scraped,0
source,0
name,12
description,753
neighborhood_overview,18061
picture_url,0
host_id,0
host_url,0
host_name,5
host_since,5
host_location,9086
host_about,19672
host_response_time,14532
host_response_rate,14532
host_acceptance_rate,12564
host_is_superhost,25
host_thumbnail_url,5
host_picture_url,5
host_neighbourhood,8650
host_listings_count,5
host_total_listings_count,5
host_verifications,5
host_has_profile_pic,5
host_identity_verified,5
neighbourhood,18060
neighbourhood_cleansed,0
neighbourhood_group_cleansed,0
latitude,0
longitude,0
property_type,0
room_type,0
accommodates,0
bathrooms,42931
bathrooms_text,75
bedrooms,3874
beds,929
amenities,0
price,0
minimum_nights,0
maximum_nights,0
minimum_minimum_nights,14
maximum_minimum_nights,14
minimum_maximum_nights,14
maximum_maximum_nights,14
minimum_nights_avg_ntm,14
maximum_nights_avg_ntm,14
calendar_updated,42931
has_availability,0
availability_30,0
availability_60,0
availability_90,0
availability_365,0
calendar_last_scraped,0
number_of_reviews,0
number_of_reviews_ltm,0
number_of_reviews_l30d,0
first_review,10304
last_review,10304
review_scores_rating,10304
review_scores_accuracy,10739
review_scores_cleanliness,10729
review_scores_checkin,10743
review_scores_communication,10734
review_scores_location,10746
review_scores_value,10746
license,42930
instant_bookable,0
calculated_host_listings_count,0
calculated_host_listings_count_entire_homes,0
calculated_host_listings_count_private_rooms,0
calculated_host_listings_count_shared_rooms,0
reviews_per_month,10304
